[INFO ][Main      :  54] use java home: /usr/java/jdk1.8.0_181/jre
[INFO ][Main      :  55] use java runtime: Java(TM) SE Runtime Environment 1.8.0_181-b13
[INFO ][Main      :  59] use java vm: Java HotSpot(TM) 64-Bit Server VM 25.181-b13
[INFO ][ClassPathU:  26] add tools.jar path:/usr/java/jdk1.8.0_181/lib/tools.jar
[INFO ][EmacsServe: 364] zpage tracez handler http://localhost:50943/tracez
[INFO ][EmacsServe: 370] Start server Listen localhost port:42547
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
[WARN ][ProjectDat:  96] null
